Title,Author,ISBN,Call Number,Publication Year,Subject,Material Type,Location,Barcode,Total Checkouts,Last Checkout Date,Created Date,Item Status,Price,Collection
Klara and the Sun,Kazuo Ishiguro,9781625280084,823.914 I99,2021,Fiction,Book,Branch,39344011888,26,2022-06-22,2022-03-06,Missing,20.27,Adult Fiction
All Boys Aren't Blue,George M. Johnson,9780025103849,306.76 J94,2020,Sociology,Book,YA,38084166930,13,2025-06-08,2020-11-19,Available,27.46,YA
The Hunger Games,Suzanne Collins,9780702169502,813.6 C67,2008,Fiction,Audiobook,YA,34562272871,0,,2009-09-11,Available,32.05,YA
Braiding Sweetgrass,Robin Wall Kimmerer,9780280844488,581.63 K75,2013,Science,Book,Main,33088517710,5,2025-09-10,2013-04-14,Available,25.64,Adult Non-Fiction
Blink,Malcolm Gladwell,9781580898683,BF315.G53 1996,2005,Psychology,Book,Branch,37116096874,14,2023-11-14,2005-04-27,Checked Out,19.16,Adult Non-Fiction
Anxious People,Fredrik Backman,9780357471968,PT9877.12.A35 1968,2020,Fiction,Book,Branch,35971407550,0,,2021-07-27,Missing,20.76,Adult Fiction
Diary of a Wimpy Kid: The Last Straw,Jeff Kinney,9780953090396,813.6 K25,2009,Fiction,Book,Children,38582485644,28,2023-01-26,2010-10-15,Available,13.88,Juvenile
Atomic Habits,James Clear,9780021977703,158.1 C70,2018,Self-Help,DVD,Branch,31290050198,1,2025-09-06,2019-02-12,Missing,13.57,Adult Non-Fiction
Born a Crime,Trevor Noah,9780030371646,791.4502 N76,2016,Biography,CD,Branch,34125758723,2,2020-09-18,2016-04-07,Available,18.42,Adult Non-Fiction
Anxious People,Fredrik Backman,9781689308182,PT9877.12.A35 1973,2020,Fiction,Book,Branch,32099247629,40,2025-07-05,2020-08-01,Available,28.63,Adult Fiction
"Salt, Fat, Acid, Heat",Samin Nosrat,9781239791501,641.5 N44,2017,Cooking,Audiobook,Main,37016293621,9,2024-09-23,2018-05-05,Available,32.97,Adult Non-Fiction
The Giving Tree,Shel Silverstein,9781542679749,813.54 S78,1964,Fiction,Audiobook,Children,37532959755,22,2023-09-20,2007-12-14,Available,35.98,Juvenile
It Ends with Us,Colleen Hoover,9781539717591,PS3608.O623 1908,2016,Fiction,Book,Branch,36696442664,35,2021-06-24,2016-11-07,Available,28.06,Adult Fiction
The Joy of Cooking,Irma S. Rombauer,9780547680583,641.5 R85,2019,Cooking,Large Print,Branch,35439366473,16,2025-01-27,2019-04-11,Available,33.89,Adult Non-Fiction
Flamer,Mike Curato,9781943867943,741.5 C53,2020,Graphic Novels,Book,YA,38028543315,91,2024-08-04,2021-10-01,Available,18.35,YA
The Giving Tree,Shel Silverstein,9780762797592,PZ7.S5876 1909,1964,Fiction,Audiobook,Children,33534186676,37,2025-04-17,2007-02-08,Checked Out,33.07,Juvenile
Flamer,Mike Curato,9780188478099,741.5 C69,2020,Graphic Novels,Book,YA,36855970349,23,2025-06-19,2021-04-09,Checked Out,11.57,YA
The Goldfinch,Donna Tartt,9781677097036,813.54 T39,2013,Fiction,Audiobook,Branch,39631695368,17,2020-11-07,2013-12-17,Available,31.08,Adult Fiction
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,9781386949794,813.54 A31,2007,Fiction,Book,YA,39033293776,31,2024-06-15,2007-08-20,Available,29.37,YA
Thirteen Reasons Why,Jay Asher,9780564241576,813.6 A79,2007,Fiction,Book,YA,36942645060,26,2023-05-26,2007-07-01,Available,27.80,YA
The Covenant of Water,Abraham Verghese,9780267826834,PS3572.E73 1935,2023,Fiction,Book,Main,35392421278,36,2024-12-23,2024-03-06,Available,25.01,Adult Fiction
Clean Code,Robert C. Martin,9780024925794,005.1 M14,2008,Technology,Book,Branch,36642266247,7,2020-09-12,2009-04-27,Checked Out,24.40,Adult Non-Fiction
The Merck Manual,Robert S. Porter,9781452471921,616 P58,1999,Medicine,Audiobook,Main,32247484671,3,2025-05-16,2000-06-09,Available,24.27,Reference
Fourth Wing,Rebecca Yarros,9780238925160,813.6 Y12,2023,Fiction,Book,Main,31194384710,21,2025-01-16,2024-11-17,Checked Out,22.84,Adult Fiction
Bad Blood,John Carreyrou,9780293393317,R857.B54.C37 2016,2018,Business,Book,Main,39345142789,9,2025-02-23,2018-12-24,Available,15.78,Adult Non-Fiction
Circe,Madeline Miller,9781277525960,813.6 M69,2018,Fiction,Book,Main,36698759353,26,2022-10-30,2019-03-08,Missing,26.85,Adult Fiction
The Four Agreements,Don Miguel Ruiz,9781095851258,299.792 R59,1997,Self-Help,DVD,Main,33392296673,0,,1999-08-23,Checked Out,23.52,Adult Non-Fiction
The Tipping Point,Malcolm Gladwell,9781551224350,302 G38,2000,Social Science,Book,Main,36891331174,5,2020-10-18,2001-10-11,Available,19.96,Adult Non-Fiction
Dune,Frank Herbert,9780957921351,813.54 H26,1965,Science Fiction,Book,Main,35738214525,22,2021-08-08,2010-03-10,Available,12.29,Adult Fiction
Daring Greatly,Brene Brown,9780564507900,158.2 B44,2012,Self-Help,Audiobook,Branch,36556684476,0,,2012-10-29,Available,26.12,Adult Non-Fiction
Flamer,Mike Curato,9780154181732,741.5 C67,2020,Graphic Novels,Book,YA,35125032122,0,,2020-01-13,Checked Out,19.70,YA
The Four Agreements,Don Miguel Ruiz,9780941911894,299.792 R73,1997,Self-Help,Book,Main,36545970956,0,,2000-03-14,Available,18.90,Adult Non-Fiction
Ghosts,Raina Telgemeier,9781644246221,741.5 T93,2016,Graphic Novels,Book,Children,31590612666,4,2024-08-18,2016-10-03,Missing,15.22,Juvenile
Cravings,Chrissy Teigen,9781853542770,641.5 T13,2016,Cooking,Book,Branch,33744446292,18,2022-09-30,2017-05-09,Missing,26.28,Adult Non-Fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9781153376495,PZ7.R79835 2014,1998,Fiction,Book,Children,38070288470,28,2023-11-09,2000-08-19,Checked Out,19.31,Juvenile
Empire of Pain,Patrick Radden Keefe,9780738328461,HD9666.9.P87.K44 1985,2021,Business,Book,Branch,38527715219,14,2025-09-22,2021-08-16,Available,25.18,Adult Non-Fiction
A Man Called Ove,Fredrik Backman,9780556769514,839.738 B86,2012,Fiction,Audiobook,Branch,37438628899,39,2024-06-27,2013-10-21,Checked Out,27.11,Adult Fiction
Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780132347792,823.914 R12,1998,Fiction,Book,Children,35439176290,1,2022-08-17,2000-06-17,Available,21.25,Juvenile
The Vanishing Half,Brit Bennett,9781793877444,PS3602.E664 1923,2020,Fiction,Book,Branch,33630074869,16,2025-05-06,2021-12-05,Available,13.54,Adult Fiction
Hidden Figures,Margot Lee Shetterly,9780479554280,510.92 S18,2016,Science,Book,Branch,36141394879,0,,2017-05-16,Available,21.02,Adult Non-Fiction
Diary of a Wimpy Kid: Rodrick Rules,Jeff Kinney,9780998683256,813.6 K70,2008,Fiction,Book,Children,34381731378,35,2021-04-04,2009-07-31,Available,12.16,Juvenile
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,9780979247927,813.54 A33,2007,Fiction,Book,YA,33892268633,64,2025-05-08,2008-11-02,Available,19.73,YA
The 1619 Project,Nikole Hannah-Jones,9780782924947,973.0496 H77,2021,History,Book,Main,31662510569,20,2020-06-27,2022-03-25,Available,18.80,Adult Non-Fiction
Animal Farm,George Orwell,9780969318682,823.912 O49,1945,Fiction,Book,Branch,39824750522,5,2024-01-26,2009-05-01,Available,28.15,Adult Fiction
